[INFO:2021-04-13 17:53:50,906] waiting CLOSING sell-bitbank/buy-liquid margin:-4746, close_threshold:-615
[INFO:2021-04-13 17:53:53,969] waiting CLOSING sell-bitbank/buy-liquid margin:-4995, close_threshold:-615
[INFO:2021-04-13 17:53:57,092] waiting CLOSING sell-bitbank/buy-liquid margin:-4109, close_threshold:-615
[INFO:2021-04-13 17:54:00,144] waiting CLOSING sell-bitbank/buy-liquid margin:-4099, close_threshold:-615
[INFO:2021-04-13 17:54:03,210] waiting CLOSING sell-bitbank/buy-liquid margin:-3598, close_threshold:-615
[INFO:2021-04-13 17:54:06,319] waiting CLOSING sell-bitbank/buy-liquid margin:-4997, close_threshold:-615
[INFO:2021-04-13 17:54:09,368] waiting CLOSING sell-bitbank/buy-liquid margin:-6096, close_threshold:-615
[INFO:2021-04-13 17:54:12,417] waiting CLOSING sell-bitbank/buy-liquid margin:-4777, close_threshold:-615
[INFO:2021-04-13 17:54:15,522] waiting CLOSING sell-bitbank/buy-liquid margin:-4777, close_threshold:-615
[INFO:2021-04-13 17:54:18,577] waiting CLOSING sell-bitbank/buy-liquid margin:-5172, close_threshold:-615
[INFO:2021-04-13 17:54:21,657] waiting CLOSING sell-bitbank/buy-liquid margin:-2054, close_threshold:-615
[INFO:2021-04-13 17:54:24,705] waiting CLOSING sell-bitbank/buy-liquid margin:-1161, close_threshold:-615
[INFO:2021-04-13 17:54:27,762] waiting CLOSING sell-bitbank/buy-liquid margin:337, close_threshold:-615
[INFO:2021-04-13 17:54:31,314] waiting OPENING sell-bitbank/buy-liquid margin:2818, open_threshold:5000
[INFO:2021-04-13 17:54:34,390] waiting OPENING sell-liquid/buy-bitbank margin:-433, open_threshold:5000
[INFO:2021-04-13 17:54:37,490] waiting OPENING sell-liquid/buy-bitbank margin:1230, open_threshold:5000
[INFO:2021-04-13 17:54:40,532] waiting OPENING sell-liquid/buy-bitbank margin:2540, open_threshold:5000
[INFO:2021-04-13 17:54:43,585] waiting OPENING sell-liquid/buy-bitbank margin:2051, open_threshold:5000
[INFO:2021-04-13 17:54:46,645] waiting OPENING sell-liquid/buy-bitbank margin:990, open_threshold:5000
[INFO:2021-04-13 17:54:49,713] waiting OPENING sell-liquid/buy-bitbank margin:1776, open_threshold:5000
[INFO:2021-04-13 17:54:52,755] waiting OPENING sell-liquid/buy-bitbank margin:1861, open_threshold:5000
[INFO:2021-04-13 17:54:55,806] waiting OPENING sell-liquid/buy-bitbank margin:608, open_threshold:5000
[INFO:2021-04-13 17:54:58,860] waiting OPENING sell-liquid/buy-bitbank margin:616, open_threshold:5000
[INFO:2021-04-13 17:55:02,078] waiting OPENING sell-liquid/buy-bitbank margin:1914, open_threshold:5000
[INFO:2021-04-13 17:55:05,136] waiting OPENING sell-liquid/buy-bitbank margin:625, open_threshold:5000
[INFO:2021-04-13 17:55:08,187] waiting OPENING sell-liquid/buy-bitbank margin:-206, open_threshold:5000
[INFO:2021-04-13 17:55:11,242] waiting OPENING sell-liquid/buy-bitbank margin:278, open_threshold:5000
[INFO:2021-04-13 17:55:14,316] waiting OPENING sell-bitbank/buy-liquid margin:-329, open_threshold:5000
[INFO:2021-04-13 17:55:17,364] waiting OPENING sell-liquid/buy-bitbank margin:-1128, open_threshold:5000
[INFO:2021-04-13 17:55:20,428] waiting OPENING sell-liquid/buy-bitbank margin:-1462, open_threshold:5000
[INFO:2021-04-13 17:55:23,509] waiting OPENING sell-liquid/buy-bitbank margin:11, open_threshold:5000
[INFO:2021-04-13 17:55:26,558] waiting OPENING sell-liquid/buy-bitbank margin:1498, open_threshold:5000
[INFO:2021-04-13 17:55:29,638] waiting OPENING sell-liquid/buy-bitbank margin:2999, open_threshold:5000
[INFO:2021-04-13 17:55:32,680] waiting OPENING sell-liquid/buy-bitbank margin:1411, open_threshold:5000
[INFO:2021-04-13 17:55:35,729] waiting OPENING sell-liquid/buy-bitbank margin:-994, open_threshold:5000
[INFO:2021-04-13 17:55:38,794] waiting OPENING sell-liquid/buy-bitbank margin:271, open_threshold:5000
[INFO:2021-04-13 17:55:41,876] waiting OPENING sell-liquid/buy-bitbank margin:-661, open_threshold:5000
