[INFO:2021-04-13 16:54:14,288] waiting CLOSING sell-bitbank/buy-liquid margin:-8127, close_threshold:-977
[INFO:2021-04-13 16:54:17,339] waiting CLOSING sell-bitbank/buy-liquid margin:-7897, close_threshold:-977
[INFO:2021-04-13 16:54:20,394] waiting CLOSING sell-bitbank/buy-liquid margin:-2751, close_threshold:-977
[INFO:2021-04-13 16:54:23,458] waiting CLOSING sell-bitbank/buy-liquid margin:-3590, close_threshold:-977
[INFO:2021-04-13 16:54:26,502] waiting CLOSING sell-bitbank/buy-liquid margin:-2881, close_threshold:-977
[INFO:2021-04-13 16:54:29,591] waiting CLOSING sell-bitbank/buy-liquid margin:-2875, close_threshold:-977
[INFO:2021-04-13 16:54:32,682] waiting CLOSING sell-bitbank/buy-liquid margin:-2857, close_threshold:-977
[INFO:2021-04-13 16:54:35,742] waiting CLOSING sell-bitbank/buy-liquid margin:-2845, close_threshold:-977
[INFO:2021-04-13 16:54:38,792] waiting CLOSING sell-bitbank/buy-liquid margin:-1981, close_threshold:-977
[INFO:2021-04-13 16:54:41,845] waiting CLOSING sell-bitbank/buy-liquid margin:-2249, close_threshold:-977
[INFO:2021-04-13 16:54:44,890] waiting CLOSING sell-bitbank/buy-liquid margin:-4475, close_threshold:-977
[INFO:2021-04-13 16:54:47,945] waiting CLOSING sell-bitbank/buy-liquid margin:-5999, close_threshold:-977
[INFO:2021-04-13 16:54:50,991] waiting CLOSING sell-bitbank/buy-liquid margin:-7249, close_threshold:-977
[INFO:2021-04-13 16:54:54,043] waiting CLOSING sell-bitbank/buy-liquid margin:-7249, close_threshold:-977
[INFO:2021-04-13 16:54:57,100] waiting CLOSING sell-bitbank/buy-liquid margin:-7249, close_threshold:-977
[INFO:2021-04-13 16:55:00,140] waiting CLOSING sell-bitbank/buy-liquid margin:-8499, close_threshold:-977
[INFO:2021-04-13 16:55:03,186] waiting CLOSING sell-bitbank/buy-liquid margin:-12094, close_threshold:-977
[INFO:2021-04-13 16:55:06,234] waiting CLOSING sell-bitbank/buy-liquid margin:-6315, close_threshold:-977
[INFO:2021-04-13 16:55:09,287] waiting CLOSING sell-bitbank/buy-liquid margin:-5836, close_threshold:-977
[INFO:2021-04-13 16:55:12,456] waiting CLOSING sell-bitbank/buy-liquid margin:-5834, close_threshold:-977
[INFO:2021-04-13 16:55:15,535] waiting CLOSING sell-bitbank/buy-liquid margin:-7587, close_threshold:-977
[INFO:2021-04-13 16:55:18,580] waiting CLOSING sell-bitbank/buy-liquid margin:-7209, close_threshold:-977
[INFO:2021-04-13 16:55:21,632] waiting CLOSING sell-bitbank/buy-liquid margin:-7202, close_threshold:-977
[INFO:2021-04-13 16:55:24,690] waiting CLOSING sell-bitbank/buy-liquid margin:-7195, close_threshold:-977
[INFO:2021-04-13 16:55:27,745] waiting CLOSING sell-bitbank/buy-liquid margin:-6820, close_threshold:-977
