[INFO:2020-03-25 16:49:28,202] waiting OPENING sell-coincheck/buy-liquid margin:264, open_threshold:2000
[INFO:2020-03-25 16:49:29,253] waiting OPENING sell-coincheck/buy-liquid margin:264, open_threshold:2000
[INFO:2020-03-25 16:49:30,302] waiting OPENING sell-coincheck/buy-liquid margin:264, open_threshold:2000
[INFO:2020-03-25 16:49:31,373] waiting OPENING sell-coincheck/buy-liquid margin:264, open_threshold:2000
[INFO:2020-03-25 16:49:32,439] waiting OPENING sell-coincheck/buy-liquid margin:264, open_threshold:2000
[INFO:2020-03-25 16:49:33,499] waiting OPENING sell-coincheck/buy-liquid margin:108, open_threshold:2000
[INFO:2020-03-25 16:49:34,542] waiting OPENING sell-coincheck/buy-liquid margin:108, open_threshold:2000
[INFO:2020-03-25 16:49:35,597] waiting OPENING sell-coincheck/buy-liquid margin:68, open_threshold:2000
[INFO:2020-03-25 16:49:36,655] waiting OPENING sell-coincheck/buy-liquid margin:68, open_threshold:2000
[INFO:2020-03-25 16:49:37,707] waiting OPENING sell-coincheck/buy-liquid margin:68, open_threshold:2000
[INFO:2020-03-25 16:49:38,767] waiting OPENING sell-coincheck/buy-liquid margin:68, open_threshold:2000
[INFO:2020-03-25 16:49:39,826] waiting OPENING sell-coincheck/buy-liquid margin:-288, open_threshold:2000
[INFO:2020-03-25 16:49:40,897] waiting OPENING sell-coincheck/buy-liquid margin:-288, open_threshold:2000
[INFO:2020-03-25 16:49:41,946] waiting OPENING sell-coincheck/buy-liquid margin:-196, open_threshold:2000
[INFO:2020-03-25 16:49:43,002] waiting OPENING sell-coincheck/buy-liquid margin:-196, open_threshold:2000
[INFO:2020-03-25 16:49:44,053] waiting OPENING sell-coincheck/buy-liquid margin:-288, open_threshold:2000
[INFO:2020-03-25 16:49:45,105] waiting OPENING sell-coincheck/buy-liquid margin:109, open_threshold:2000
[INFO:2020-03-25 16:49:46,179] waiting OPENING sell-coincheck/buy-liquid margin:-61, open_threshold:2000
[INFO:2020-03-25 16:49:47,232] waiting OPENING sell-coincheck/buy-liquid margin:-61, open_threshold:2000
