[INFO:2020-05-07 07:06:10,656] tick bid=987866 ask=987990 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:10,657] tick bid=987683 ask=988068 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:11,209] tick bid=987866 ask=987990 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:11,226] tick bid=987683 ask=988068 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:11,585] tick bid=987866 ask=987990 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:11,585] tick bid=987683 ask=988067 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:11,885] tick bid=987866 ask=987990 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:11,885] tick bid=987659 ask=988353 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:12,189] tick bid=987866 ask=987990 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:12,189] tick bid=987572 ask=988352 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:12,449] tick bid=987866 ask=987991 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:12,454] tick bid=987572 ask=988352 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:12,715] tick bid=988000 ask=988389 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:12,746] tick bid=987661 ask=988352 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:13,287] tick bid=988046 ask=988388 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:13,288] tick bid=987662 ask=988352 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:13,556] tick bid=988046 ask=988387 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:13,557] tick bid=987724 ask=988352 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:13,838] tick bid=988046 ask=988383 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:13,910] tick bid=987724 ask=988352 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:14,197] tick bid=988264 ask=988268 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:14,208] tick bid=987724 ask=988370 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:14,522] tick bid=988264 ask=988268 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:14,522] tick bid=988360 ask=988370 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:15,010] tick bid=988264 ask=988383 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:15,010] tick bid=988360 ask=988370 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:15,265] tick bid=988264 ask=988369 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:15,265] tick bid=988003 ask=988370 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:15,556] tick bid=988550 ask=988483 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:15,557] tick bid=988003 ask=988574 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:15,829] tick bid=988550 ask=988714 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:15,834] tick bid=988004 ask=988369 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:16,144] tick bid=988550 ask=988785 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:16,145] tick bid=988009 ask=988368 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:16,447] tick bid=988550 ask=988735 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:16,448] tick bid=988009 ask=988368 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:16,745] tick bid=988550 ask=988810 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:16,750] tick bid=988009 ask=988368 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:18,349] tick bid=988550 ask=988735 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:18,349] tick bid=988104 ask=988639 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:18,683] tick bid=988475 ask=988543 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:18,683] tick bid=988136 ask=988637 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:18,939] tick bid=988573 ask=988735 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:18,939] tick bid=988136 ask=988637 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:19,309] tick bid=988573 ask=988658 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:19,310] tick bid=988137 ask=988637 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:19,602] tick bid=988573 ask=988658 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:19,612] tick bid=988242 ask=988864 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:19,868] tick bid=988596 ask=988658 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:19,868] tick bid=988315 ask=988864 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:20,137] tick bid=988596 ask=988658 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:20,137] tick bid=988315 ask=988852 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:20,435] tick bid=988618 ask=988658 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:20,534] tick bid=988320 ask=988852 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:20,802] tick bid=988637 ask=988658 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:20,807] tick bid=988321 ask=988868 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:21,170] tick bid=988637 ask=988658 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:21,185] tick bid=988341 ask=988900 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:21,454] tick bid=988637 ask=988718 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:21,455] tick bid=988342 ask=988900 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:21,715] tick bid=988637 ask=988718 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:21,715] tick bid=988346 ask=988900 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:22,473] tick bid=988637 ask=988781 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:22,473] tick bid=988346 ask=988900 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:22,734] tick bid=988637 ask=988813 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:22,734] tick bid=988347 ask=988900 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:22,995] tick bid=988849 ask=988831 (liquid:BTC/JPY)
