[INFO:2021-03-31 19:52:26,347] waiting OPENING sell-liquid/buy-bitbank margin:263, open_threshold:1500
[INFO:2021-03-31 19:52:29,404] waiting OPENING sell-liquid/buy-bitbank margin:-2553, open_threshold:1500
[INFO:2021-03-31 19:52:32,461] waiting OPENING sell-bitbank/buy-liquid margin:-1003, open_threshold:1500
[INFO:2021-03-31 19:52:35,510] waiting OPENING sell-bitbank/buy-liquid margin:-1236, open_threshold:1500
[INFO:2021-03-31 19:52:38,564] waiting OPENING sell-bitbank/buy-liquid margin:-1215, open_threshold:1500
[INFO:2021-03-31 19:52:41,627] waiting OPENING sell-bitbank/buy-liquid margin:-1207, open_threshold:1500
[INFO:2021-03-31 19:52:44,702] waiting OPENING sell-bitbank/buy-liquid margin:-1183, open_threshold:1500
[INFO:2021-03-31 19:52:47,769] waiting OPENING sell-bitbank/buy-liquid margin:477, open_threshold:1500
[INFO:2021-03-31 19:52:50,822] waiting OPENING sell-bitbank/buy-liquid margin:-953, open_threshold:1500
[INFO:2021-03-31 19:52:53,897] waiting OPENING sell-bitbank/buy-liquid margin:-921, open_threshold:1500
[INFO:2021-03-31 19:52:56,974] waiting OPENING sell-bitbank/buy-liquid margin:-903, open_threshold:1500
[INFO:2021-03-31 19:53:00,022] waiting OPENING sell-bitbank/buy-liquid margin:-882, open_threshold:1500
[INFO:2021-03-31 19:53:03,097] waiting OPENING sell-liquid/buy-bitbank margin:-1342, open_threshold:1500
[INFO:2021-03-31 19:53:06,140] waiting OPENING sell-liquid/buy-bitbank margin:-134, open_threshold:1500
[INFO:2021-03-31 19:53:09,214] waiting OPENING sell-bitbank/buy-liquid margin:-399, open_threshold:1500
[INFO:2021-03-31 19:53:12,272] waiting OPENING sell-bitbank/buy-liquid margin:-699, open_threshold:1500
[INFO:2021-03-31 19:53:15,331] waiting OPENING sell-bitbank/buy-liquid margin:2061, open_threshold:1500
[INFO:2021-03-31 19:53:18,951] waiting CLOSING sell-liquid/buy-bitbank margin:-3758, close_threshold:-561
[INFO:2021-03-31 19:53:21,995] waiting CLOSING sell-liquid/buy-bitbank margin:-2073, close_threshold:-561
[INFO:2021-03-31 19:53:25,070] waiting CLOSING sell-liquid/buy-bitbank margin:-806, close_threshold:-561
[INFO:2021-03-31 19:53:28,126] waiting CLOSING sell-liquid/buy-bitbank margin:-694, close_threshold:-561
[INFO:2021-03-31 19:53:31,188] waiting CLOSING sell-liquid/buy-bitbank margin:-693, close_threshold:-561
[INFO:2021-03-31 19:53:34,254] waiting CLOSING sell-liquid/buy-bitbank margin:866, close_threshold:-561
[INFO:2021-03-31 19:53:37,931] waiting OPENING sell-liquid/buy-bitbank margin:-1792, open_threshold:1500
[INFO:2021-03-31 19:53:40,984] waiting OPENING sell-liquid/buy-bitbank margin:-1284, open_threshold:1500
[INFO:2021-03-31 19:53:44,041] waiting OPENING sell-bitbank/buy-liquid margin:1666, open_threshold:1500
[INFO:2021-03-31 19:53:47,599] waiting CLOSING sell-liquid/buy-bitbank margin:-3517, close_threshold:-166
[INFO:2021-03-31 19:53:50,654] waiting CLOSING sell-liquid/buy-bitbank margin:-3517, close_threshold:-166
[INFO:2021-03-31 19:53:53,866] waiting CLOSING sell-liquid/buy-bitbank margin:-5667, close_threshold:-166
[INFO:2021-03-31 19:53:56,982] waiting CLOSING sell-liquid/buy-bitbank margin:-4540, close_threshold:-166
[INFO:2021-03-31 19:54:00,029] waiting CLOSING sell-liquid/buy-bitbank margin:-4091, close_threshold:-166
[INFO:2021-03-31 19:54:03,101] waiting CLOSING sell-liquid/buy-bitbank margin:-4705, close_threshold:-166
[INFO:2021-03-31 19:54:06,169] waiting CLOSING sell-liquid/buy-bitbank margin:-3789, close_threshold:-166
[INFO:2021-03-31 19:54:09,239] waiting CLOSING sell-liquid/buy-bitbank margin:-4006, close_threshold:-166
[INFO:2021-03-31 19:54:12,333] waiting CLOSING sell-liquid/buy-bitbank margin:-3259, close_threshold:-166
[INFO:2021-03-31 19:54:15,393] waiting CLOSING sell-liquid/buy-bitbank margin:-3259, close_threshold:-166
[INFO:2021-03-31 19:54:18,439] waiting CLOSING sell-liquid/buy-bitbank margin:-4503, close_threshold:-166
[INFO:2021-03-31 19:54:21,508] waiting CLOSING sell-liquid/buy-bitbank margin:-4735, close_threshold:-166
[INFO:2021-03-31 19:54:24,560] waiting CLOSING sell-liquid/buy-bitbank margin:-4165, close_threshold:-166
[INFO:2021-03-31 19:54:27,617] waiting CLOSING sell-liquid/buy-bitbank margin:-6854, close_threshold:-166
[INFO:2021-03-31 19:54:30,691] waiting CLOSING sell-liquid/buy-bitbank margin:-4972, close_threshold:-166
[INFO:2021-03-31 19:54:33,757] waiting CLOSING sell-liquid/buy-bitbank margin:-4972, close_threshold:-166
[INFO:2021-03-31 19:54:36,822] waiting CLOSING sell-liquid/buy-bitbank margin:-5793, close_threshold:-166
[INFO:2021-03-31 19:54:39,885] waiting CLOSING sell-liquid/buy-bitbank margin:-6223, close_threshold:-166
[INFO:2021-03-31 19:54:43,201] waiting CLOSING sell-liquid/buy-bitbank margin:-6499, close_threshold:-166
[INFO:2021-03-31 19:54:46,285] waiting CLOSING sell-liquid/buy-bitbank margin:-7207, close_threshold:-166
[INFO:2021-03-31 19:54:49,345] waiting CLOSING sell-liquid/buy-bitbank margin:-7472, close_threshold:-166
[INFO:2021-03-31 19:54:52,387] waiting CLOSING sell-liquid/buy-bitbank margin:-7457, close_threshold:-166
[INFO:2021-03-31 19:54:55,457] waiting CLOSING sell-liquid/buy-bitbank margin:-7472, close_threshold:-166
[INFO:2021-03-31 19:54:58,521] waiting CLOSING sell-liquid/buy-bitbank margin:-8764, close_threshold:-166
[INFO:2021-03-31 19:55:01,589] waiting CLOSING sell-liquid/buy-bitbank margin:-4133, close_threshold:-166
[INFO:2021-03-31 19:55:04,655] waiting CLOSING sell-liquid/buy-bitbank margin:-5844, close_threshold:-166
[INFO:2021-03-31 19:55:07,711] waiting CLOSING sell-liquid/buy-bitbank margin:-3963, close_threshold:-166
[INFO:2021-03-31 19:55:10,762] waiting CLOSING sell-liquid/buy-bitbank margin:-4796, close_threshold:-166
[INFO:2021-03-31 19:55:13,827] waiting CLOSING sell-liquid/buy-bitbank margin:-4999, close_threshold:-166
[INFO:2021-03-31 19:55:16,895] waiting CLOSING sell-liquid/buy-bitbank margin:-6629, close_threshold:-166
[INFO:2021-03-31 19:55:19,970] waiting CLOSING sell-liquid/buy-bitbank margin:-6893, close_threshold:-166
[INFO:2021-03-31 19:55:23,020] waiting CLOSING sell-liquid/buy-bitbank margin:-6873, close_threshold:-166
[INFO:2021-03-31 19:55:26,071] waiting CLOSING sell-liquid/buy-bitbank margin:-5827, close_threshold:-166
[INFO:2021-03-31 19:55:29,155] waiting CLOSING sell-liquid/buy-bitbank margin:-6275, close_threshold:-166
[INFO:2021-03-31 19:55:32,243] waiting CLOSING sell-liquid/buy-bitbank margin:-6388, close_threshold:-166
[INFO:2021-03-31 19:55:35,298] waiting CLOSING sell-liquid/buy-bitbank margin:-6382, close_threshold:-166
[INFO:2021-03-31 19:55:38,338] waiting CLOSING sell-liquid/buy-bitbank margin:-6111, close_threshold:-166
[INFO:2021-03-31 19:55:41,391] waiting CLOSING sell-liquid/buy-bitbank margin:-6095, close_threshold:-166
[INFO:2021-03-31 19:55:44,440] waiting CLOSING sell-liquid/buy-bitbank margin:-5427, close_threshold:-166
[INFO:2021-03-31 19:55:47,497] waiting CLOSING sell-liquid/buy-bitbank margin:-2893, close_threshold:-166
[INFO:2021-03-31 19:55:50,547] waiting CLOSING sell-liquid/buy-bitbank margin:-1776, close_threshold:-166
[INFO:2021-03-31 19:55:53,603] waiting CLOSING sell-liquid/buy-bitbank margin:-3162, close_threshold:-166
[INFO:2021-03-31 19:55:56,658] waiting CLOSING sell-liquid/buy-bitbank margin:-3938, close_threshold:-166
[INFO:2021-03-31 19:55:59,704] waiting CLOSING sell-liquid/buy-bitbank margin:-3365, close_threshold:-166
[INFO:2021-03-31 19:56:02,746] waiting CLOSING sell-liquid/buy-bitbank margin:-3365, close_threshold:-166
[INFO:2021-03-31 19:56:05,829] waiting CLOSING sell-liquid/buy-bitbank margin:-5190, close_threshold:-166
[INFO:2021-03-31 19:56:08,882] waiting CLOSING sell-liquid/buy-bitbank margin:-5190, close_threshold:-166
[INFO:2021-03-31 19:56:11,934] waiting CLOSING sell-liquid/buy-bitbank margin:-5189, close_threshold:-166
[INFO:2021-03-31 19:56:15,042] waiting CLOSING sell-liquid/buy-bitbank margin:-6012, close_threshold:-166
[INFO:2021-03-31 19:56:18,098] waiting CLOSING sell-liquid/buy-bitbank margin:-6011, close_threshold:-166
[INFO:2021-03-31 19:56:21,139] waiting CLOSING sell-liquid/buy-bitbank margin:-6011, close_threshold:-166
[INFO:2021-03-31 19:56:24,197] waiting CLOSING sell-liquid/buy-bitbank margin:-4887, close_threshold:-166
[INFO:2021-03-31 19:56:27,247] waiting CLOSING sell-liquid/buy-bitbank margin:-5190, close_threshold:-166
[INFO:2021-03-31 19:56:30,292] waiting CLOSING sell-liquid/buy-bitbank margin:-5995, close_threshold:-166
[INFO:2021-03-31 19:56:33,349] waiting CLOSING sell-liquid/buy-bitbank margin:-5996, close_threshold:-166
[INFO:2021-03-31 19:56:36,428] waiting CLOSING sell-liquid/buy-bitbank margin:-5996, close_threshold:-166
[INFO:2021-03-31 19:56:39,493] waiting CLOSING sell-liquid/buy-bitbank margin:-5828, close_threshold:-166
[INFO:2021-03-31 19:56:42,549] waiting CLOSING sell-liquid/buy-bitbank margin:-5996, close_threshold:-166
[INFO:2021-03-31 19:56:45,611] waiting CLOSING sell-liquid/buy-bitbank margin:-5986, close_threshold:-166
[INFO:2021-03-31 19:56:48,685] waiting CLOSING sell-liquid/buy-bitbank margin:-5995, close_threshold:-166
[INFO:2021-03-31 19:56:51,748] waiting CLOSING sell-liquid/buy-bitbank margin:-4632, close_threshold:-166
[INFO:2021-03-31 19:56:54,805] waiting CLOSING sell-liquid/buy-bitbank margin:-4632, close_threshold:-166
[INFO:2021-03-31 19:56:57,852] waiting CLOSING sell-liquid/buy-bitbank margin:-5397, close_threshold:-166
[INFO:2021-03-31 19:57:00,897] waiting CLOSING sell-liquid/buy-bitbank margin:-5991, close_threshold:-166
[INFO:2021-03-31 19:57:03,961] waiting CLOSING sell-liquid/buy-bitbank margin:-5991, close_threshold:-166
[INFO:2021-03-31 19:57:07,007] waiting CLOSING sell-liquid/buy-bitbank margin:-5996, close_threshold:-166
