timestamp,bid,ask,tick_timestamp
2020-03-25 08:58:50,752574.0,752841.0,2020-03-25 08:58:50
2020-03-25 08:58:51,752574.0,752841.0,2020-03-25 08:58:51
2020-03-25 08:58:52,752597.0,752801.0,2020-03-25 08:58:52
2020-03-25 08:58:53,752597.0,752801.0,2020-03-25 08:58:53
2020-03-25 08:58:54,753004.0,753026.0,2020-03-25 08:58:54
2020-03-25 08:58:55,753004.0,753026.0,2020-03-25 08:58:55
2020-03-25 08:58:56,753004.0,753026.0,2020-03-25 08:58:56
2020-03-25 08:58:57,753004.0,753026.0,2020-03-25 08:58:57
2020-03-25 08:58:58,752551.0,752888.0,2020-03-25 08:58:58
2020-03-25 08:58:59,752551.0,752888.0,2020-03-25 08:58:59
2020-03-25 08:59:00,752648.0,752882.0,2020-03-25 08:59:00
2020-03-25 08:59:01,752648.0,752882.0,2020-03-25 08:59:01
2020-03-25 08:59:02,752583.0,752990.0,2020-03-25 08:59:02
2020-03-25 08:59:03,752583.0,752990.0,2020-03-25 08:59:03
2020-03-25 08:59:04,752817.0,752942.0,2020-03-25 08:59:04
2020-03-25 08:59:05,752817.0,752942.0,2020-03-25 08:59:05
2020-03-25 08:59:07,752791.0,752942.0,2020-03-25 08:59:06
2020-03-25 08:59:08,752791.0,752942.0,2020-03-25 08:59:08
2020-03-25 08:59:09,752638.0,752767.0,2020-03-25 08:59:09
2020-03-25 08:59:10,752638.0,752767.0,2020-03-25 08:59:10
2020-03-25 08:59:11,752693.0,752780.0,2020-03-25 08:59:11
2020-03-25 08:59:12,752693.0,752780.0,2020-03-25 08:59:12
2020-03-25 08:59:13,752514.0,752855.0,2020-03-25 08:59:13
2020-03-25 08:59:14,752514.0,752855.0,2020-03-25 08:59:14
2020-03-25 08:59:15,752693.0,752836.0,2020-03-25 08:59:15
2020-03-25 08:59:16,752693.0,752836.0,2020-03-25 08:59:16
2020-03-25 08:59:17,752693.0,752905.0,2020-03-25 08:59:17
2020-03-25 08:59:18,752693.0,752905.0,2020-03-25 08:59:18
2020-03-25 08:59:19,752734.0,752915.0,2020-03-25 08:59:19
2020-03-25 08:59:20,752734.0,752915.0,2020-03-25 08:59:20
2020-03-25 08:59:21,752739.0,752841.0,2020-03-25 08:59:21
2020-03-25 08:59:22,752739.0,752841.0,2020-03-25 08:59:22
2020-03-25 08:59:23,752372.0,752563.0,2020-03-25 08:59:23
2020-03-25 08:59:24,752372.0,752563.0,2020-03-25 08:59:24
2020-03-25 08:59:26,752350.0,752563.0,2020-03-25 08:59:25
2020-03-25 08:59:27,752350.0,752563.0,2020-03-25 08:59:27
2020-03-25 08:59:28,752240.0,752425.0,2020-03-25 08:59:28
2020-03-25 08:59:29,752240.0,752425.0,2020-03-25 08:59:29
2020-03-25 08:59:30,752377.0,752425.0,2020-03-25 08:59:30
2020-03-25 08:59:31,752377.0,752425.0,2020-03-25 08:59:31
2020-03-25 08:59:32,752121.0,752362.0,2020-03-25 08:59:32
2020-03-25 08:59:33,752121.0,752362.0,2020-03-25 08:59:33
2020-03-25 08:59:34,752314.0,752424.0,2020-03-25 08:59:34
2020-03-25 08:59:35,752314.0,752424.0,2020-03-25 08:59:35
2020-03-25 08:59:36,752314.0,752385.0,2020-03-25 08:59:36
2020-03-25 08:59:37,752314.0,752385.0,2020-03-25 08:59:37
2020-03-25 08:59:38,752388.0,752454.0,2020-03-25 08:59:38
2020-03-25 08:59:39,752388.0,752454.0,2020-03-25 08:59:39
2020-03-25 08:59:40,752388.0,752564.0,2020-03-25 08:59:40
2020-03-25 08:59:41,752388.0,752564.0,2020-03-25 08:59:41
2020-03-25 08:59:42,752236.0,752564.0,2020-03-25 08:59:42
2020-03-25 08:59:44,752236.0,752564.0,2020-03-25 08:59:43
2020-03-25 08:59:45,752275.0,752373.0,2020-03-25 08:59:45
2020-03-25 08:59:46,752275.0,752373.0,2020-03-25 08:59:46
2020-03-25 08:59:47,752257.0,752484.0,2020-03-25 08:59:47
2020-03-25 08:59:48,752257.0,752484.0,2020-03-25 08:59:48
2020-03-25 08:59:49,752236.0,752484.0,2020-03-25 08:59:49
2020-03-25 08:59:50,752236.0,752484.0,2020-03-25 08:59:50
2020-03-25 08:59:51,752263.0,752564.0,2020-03-25 08:59:51
2020-03-25 08:59:52,752263.0,752564.0,2020-03-25 08:59:52
2020-03-25 08:59:53,752370.0,752559.0,2020-03-25 08:59:53
2020-03-25 08:59:54,752370.0,752548.0,2020-03-25 08:59:54
2020-03-25 08:59:55,752370.0,752548.0,2020-03-25 08:59:55
2020-03-25 08:59:56,752412.0,752564.0,2020-03-25 08:59:56
2020-03-25 08:59:57,752412.0,752564.0,2020-03-25 08:59:57
2020-03-25 08:59:58,752389.0,752564.0,2020-03-25 08:59:58
2020-03-25 08:59:59,752389.0,752564.0,2020-03-25 08:59:59
2020-03-25 09:00:00,752389.0,752564.0,2020-03-25 09:00:00
2020-03-25 09:00:02,752389.0,752564.0,2020-03-25 09:00:01
2020-03-25 09:00:03,752389.0,752564.0,2020-03-25 09:00:03
2020-03-25 09:00:04,752389.0,752564.0,2020-03-25 09:00:04
2020-03-25 09:00:05,752175.0,752437.0,2020-03-25 09:00:05
2020-03-25 09:00:06,752175.0,752437.0,2020-03-25 09:00:06
2020-03-25 09:00:07,751836.0,751881.0,2020-03-25 09:00:07
2020-03-25 09:00:08,751836.0,751881.0,2020-03-25 09:00:08
2020-03-25 09:00:09,751620.0,751775.0,2020-03-25 09:00:09
2020-03-25 09:00:10,751620.0,751775.0,2020-03-25 09:00:10
2020-03-25 09:00:11,751829.0,751971.0,2020-03-25 09:00:11
2020-03-25 09:00:12,751829.0,751971.0,2020-03-25 09:00:12
2020-03-25 09:00:13,751650.0,751715.0,2020-03-25 09:00:13
2020-03-25 09:00:14,751650.0,751715.0,2020-03-25 09:00:14
2020-03-25 09:00:15,751385.0,751425.0,2020-03-25 09:00:15
2020-03-25 09:00:16,751385.0,751425.0,2020-03-25 09:00:16
2020-03-25 09:00:18,751047.0,751147.0,2020-03-25 09:00:17
2020-03-25 09:00:19,751047.0,751147.0,2020-03-25 09:00:19
2020-03-25 09:00:20,750650.0,750872.0,2020-03-25 09:00:20
2020-03-25 09:00:21,750650.0,750872.0,2020-03-25 09:00:21
2020-03-25 09:00:22,749449.0,749677.0,2020-03-25 09:00:22
2020-03-25 09:00:23,749837.0,750431.0,2020-03-25 09:00:23
2020-03-25 09:00:25,749837.0,750431.0,2020-03-25 09:00:24
2020-03-25 09:00:26,750250.0,750384.0,2020-03-25 09:00:26
2020-03-25 09:00:27,750250.0,750384.0,2020-03-25 09:00:27
2020-03-25 09:00:28,749968.0,749988.0,2020-03-25 09:00:28
2020-03-25 09:00:29,749968.0,749988.0,2020-03-25 09:00:29
2020-03-25 09:00:30,749671.0,749972.0,2020-03-25 09:00:30
2020-03-25 09:00:31,749671.0,749972.0,2020-03-25 09:00:31
2020-03-25 09:00:32,749990.0,750126.0,2020-03-25 09:00:32
2020-03-25 09:00:34,749990.0,750126.0,2020-03-25 09:00:34
2020-03-25 09:00:35,750410.0,750482.0,2020-03-25 09:00:35
2020-03-25 09:00:36,750410.0,750482.0,2020-03-25 09:00:36
2020-03-25 09:00:37,749794.0,750347.0,2020-03-25 09:00:37
2020-03-25 09:00:38,749794.0,750347.0,2020-03-25 09:00:38
2020-03-25 09:00:39,750228.0,750378.0,2020-03-25 09:00:39
2020-03-25 09:00:40,750228.0,750378.0,2020-03-25 09:00:40
2020-03-25 09:00:41,749862.0,750193.0,2020-03-25 09:00:41
2020-03-25 09:00:42,749862.0,750193.0,2020-03-25 09:00:42
2020-03-25 09:00:43,749990.0,750330.0,2020-03-25 09:00:43
2020-03-25 09:00:44,749990.0,750330.0,2020-03-25 09:00:44
2020-03-25 09:00:45,750031.0,750427.0,2020-03-25 09:00:45
2020-03-25 09:00:46,750031.0,750427.0,2020-03-25 09:00:46
2020-03-25 09:00:48,750031.0,750427.0,2020-03-25 09:00:47
2020-03-25 09:00:49,750031.0,750427.0,2020-03-25 09:00:49
2020-03-25 09:00:50,750412.0,750583.0,2020-03-25 09:00:50
2020-03-25 09:00:51,749898.0,749945.0,2020-03-25 09:00:51
2020-03-25 09:00:52,749898.0,749945.0,2020-03-25 09:00:52
2020-03-25 09:00:53,749908.0,750332.0,2020-03-25 09:00:53
2020-03-25 09:00:54,749908.0,750332.0,2020-03-25 09:00:54
2020-03-25 09:00:55,750221.0,750304.0,2020-03-25 09:00:55
