[INFO:2020-03-25 03:39:04,235] waiting OPENING sell-liquid/buy-coincheck margin:488, open_threshold:2000
[INFO:2020-03-25 03:39:05,347] waiting OPENING sell-liquid/buy-coincheck margin:250, open_threshold:2000
[INFO:2020-03-25 03:39:06,414] waiting OPENING sell-liquid/buy-coincheck margin:250, open_threshold:2000
[INFO:2020-03-25 03:39:07,468] waiting OPENING sell-liquid/buy-coincheck margin:251, open_threshold:2000
[INFO:2020-03-25 03:39:08,515] waiting OPENING sell-liquid/buy-coincheck margin:251, open_threshold:2000
[INFO:2020-03-25 03:39:09,560] waiting OPENING sell-liquid/buy-coincheck margin:646, open_threshold:2000
[INFO:2020-03-25 03:39:10,609] waiting OPENING sell-liquid/buy-coincheck margin:646, open_threshold:2000
[INFO:2020-03-25 03:39:11,661] waiting OPENING sell-liquid/buy-coincheck margin:646, open_threshold:2000
[INFO:2020-03-25 03:39:12,720] waiting OPENING sell-liquid/buy-coincheck margin:646, open_threshold:2000
[INFO:2020-03-25 03:39:13,771] waiting OPENING sell-liquid/buy-coincheck margin:646, open_threshold:2000
[INFO:2020-03-25 03:39:14,823] waiting OPENING sell-liquid/buy-coincheck margin:646, open_threshold:2000
[INFO:2020-03-25 03:39:15,868] waiting OPENING sell-liquid/buy-coincheck margin:506, open_threshold:2000
[INFO:2020-03-25 03:39:16,931] waiting OPENING sell-liquid/buy-coincheck margin:-141, open_threshold:2000
[INFO:2020-03-25 03:39:17,979] waiting OPENING sell-liquid/buy-coincheck margin:-141, open_threshold:2000
[INFO:2020-03-25 03:39:19,023] waiting OPENING sell-liquid/buy-coincheck margin:-141, open_threshold:2000
[INFO:2020-03-25 03:39:20,088] waiting OPENING sell-liquid/buy-coincheck margin:-328, open_threshold:2000
[INFO:2020-03-25 03:39:21,224] waiting OPENING sell-liquid/buy-coincheck margin:-328, open_threshold:2000
[INFO:2020-03-25 03:39:22,286] waiting OPENING sell-liquid/buy-coincheck margin:-211, open_threshold:2000
[INFO:2020-03-25 03:39:23,335] waiting OPENING sell-liquid/buy-coincheck margin:-211, open_threshold:2000
[INFO:2020-03-25 03:39:24,392] waiting OPENING sell-liquid/buy-coincheck margin:79, open_threshold:2000
[INFO:2020-03-25 03:39:25,438] waiting OPENING sell-liquid/buy-coincheck margin:79, open_threshold:2000
[INFO:2020-03-25 03:39:26,485] waiting OPENING sell-liquid/buy-coincheck margin:-219, open_threshold:2000
[INFO:2020-03-25 03:39:27,542] waiting OPENING sell-liquid/buy-coincheck margin:-219, open_threshold:2000
[INFO:2020-03-25 03:39:28,593] waiting OPENING sell-liquid/buy-coincheck margin:-345, open_threshold:2000
[INFO:2020-03-25 03:39:29,646] waiting OPENING sell-liquid/buy-coincheck margin:-345, open_threshold:2000
[INFO:2020-03-25 03:39:30,698] waiting OPENING sell-liquid/buy-coincheck margin:-340, open_threshold:2000
[INFO:2020-03-25 03:39:31,762] waiting OPENING sell-liquid/buy-coincheck margin:-340, open_threshold:2000
[INFO:2020-03-25 03:39:32,823] waiting OPENING sell-liquid/buy-coincheck margin:-369, open_threshold:2000
[INFO:2020-03-25 03:39:33,876] waiting OPENING sell-liquid/buy-coincheck margin:-369, open_threshold:2000
[INFO:2020-03-25 03:39:34,924] waiting OPENING sell-coincheck/buy-liquid margin:-360, open_threshold:2000
[INFO:2020-03-25 03:39:35,969] waiting OPENING sell-coincheck/buy-liquid margin:-360, open_threshold:2000
[INFO:2020-03-25 03:39:37,039] waiting OPENING sell-liquid/buy-coincheck margin:-127, open_threshold:2000
[INFO:2020-03-25 03:39:38,090] waiting OPENING sell-liquid/buy-coincheck margin:-127, open_threshold:2000
[INFO:2020-03-25 03:39:39,132] waiting OPENING sell-liquid/buy-coincheck margin:-126, open_threshold:2000
[INFO:2020-03-25 03:39:40,179] waiting OPENING sell-liquid/buy-coincheck margin:-126, open_threshold:2000
[INFO:2020-03-25 03:39:41,228] waiting OPENING sell-liquid/buy-coincheck margin:-80, open_threshold:2000
[INFO:2020-03-25 03:39:42,287] waiting OPENING sell-liquid/buy-coincheck margin:-80, open_threshold:2000
[INFO:2020-03-25 03:39:43,335] waiting OPENING sell-liquid/buy-coincheck margin:-25, open_threshold:2000
[INFO:2020-03-25 03:39:44,394] waiting OPENING sell-liquid/buy-coincheck margin:-25, open_threshold:2000
[INFO:2020-03-25 03:39:45,441] waiting OPENING sell-liquid/buy-coincheck margin:753, open_threshold:2000
[INFO:2020-03-25 03:39:46,498] waiting OPENING sell-liquid/buy-coincheck margin:753, open_threshold:2000
[INFO:2020-03-25 03:39:47,557] waiting OPENING sell-liquid/buy-coincheck margin:642, open_threshold:2000
[INFO:2020-03-25 03:39:48,597] waiting OPENING sell-liquid/buy-coincheck margin:642, open_threshold:2000
[INFO:2020-03-25 03:39:49,650] waiting OPENING sell-liquid/buy-coincheck margin:598, open_threshold:2000
[INFO:2020-03-25 03:39:50,706] waiting OPENING sell-liquid/buy-coincheck margin:598, open_threshold:2000
[INFO:2020-03-25 03:39:51,766] waiting OPENING sell-liquid/buy-coincheck margin:533, open_threshold:2000
[INFO:2020-03-25 03:39:52,817] waiting OPENING sell-liquid/buy-coincheck margin:533, open_threshold:2000
[INFO:2020-03-25 03:39:53,857] waiting OPENING sell-liquid/buy-coincheck margin:580, open_threshold:2000
[INFO:2020-03-25 03:39:54,908] waiting OPENING sell-liquid/buy-coincheck margin:580, open_threshold:2000
[INFO:2020-03-25 03:39:55,989] waiting OPENING sell-liquid/buy-coincheck margin:653, open_threshold:2000
[INFO:2020-03-25 03:39:57,057] waiting OPENING sell-liquid/buy-coincheck margin:-75, open_threshold:2000
[INFO:2020-03-25 03:39:58,124] waiting OPENING sell-liquid/buy-coincheck margin:156, open_threshold:2000
[INFO:2020-03-25 03:39:59,183] waiting OPENING sell-liquid/buy-coincheck margin:156, open_threshold:2000
[INFO:2020-03-25 03:40:00,245] waiting OPENING sell-liquid/buy-coincheck margin:30, open_threshold:2000
[INFO:2020-03-25 03:40:01,291] waiting OPENING sell-liquid/buy-coincheck margin:30, open_threshold:2000
[INFO:2020-03-25 03:40:02,350] waiting OPENING sell-liquid/buy-coincheck margin:132, open_threshold:2000
[INFO:2020-03-25 03:40:03,408] waiting OPENING sell-liquid/buy-coincheck margin:132, open_threshold:2000
[INFO:2020-03-25 03:40:04,468] waiting OPENING sell-liquid/buy-coincheck margin:398, open_threshold:2000
[INFO:2020-03-25 03:40:05,533] waiting OPENING sell-liquid/buy-coincheck margin:398, open_threshold:2000
[INFO:2020-03-25 03:40:06,581] waiting OPENING sell-liquid/buy-coincheck margin:443, open_threshold:2000
[INFO:2020-03-25 03:40:07,634] waiting OPENING sell-liquid/buy-coincheck margin:443, open_threshold:2000
[INFO:2020-03-25 03:40:08,697] waiting OPENING sell-liquid/buy-coincheck margin:-178, open_threshold:2000
[INFO:2020-03-25 03:40:09,773] waiting OPENING sell-liquid/buy-coincheck margin:-178, open_threshold:2000
[INFO:2020-03-25 03:40:10,831] waiting OPENING sell-liquid/buy-coincheck margin:-195, open_threshold:2000
[INFO:2020-03-25 03:40:11,873] waiting OPENING sell-liquid/buy-coincheck margin:-195, open_threshold:2000
[INFO:2020-03-25 03:40:12,914] waiting OPENING sell-coincheck/buy-liquid margin:-203, open_threshold:2000
