[INFO:2020-03-25 10:39:40,718] waiting OPENING sell-coincheck/buy-liquid margin:153, open_threshold:2000
[INFO:2020-03-25 10:39:41,776] waiting OPENING sell-coincheck/buy-liquid margin:153, open_threshold:2000
[INFO:2020-03-25 10:39:42,844] waiting OPENING sell-coincheck/buy-liquid margin:153, open_threshold:2000
[INFO:2020-03-25 10:39:43,894] waiting OPENING sell-coincheck/buy-liquid margin:153, open_threshold:2000
[INFO:2020-03-25 10:39:44,951] waiting OPENING sell-coincheck/buy-liquid margin:207, open_threshold:2000
[INFO:2020-03-25 10:39:45,994] waiting OPENING sell-coincheck/buy-liquid margin:207, open_threshold:2000
[INFO:2020-03-25 10:39:47,045] waiting OPENING sell-coincheck/buy-liquid margin:-152, open_threshold:2000
[INFO:2020-03-25 10:39:48,086] waiting OPENING sell-coincheck/buy-liquid margin:-152, open_threshold:2000
[INFO:2020-03-25 10:39:49,156] waiting OPENING sell-coincheck/buy-liquid margin:112, open_threshold:2000
[INFO:2020-03-25 10:39:50,243] waiting OPENING sell-coincheck/buy-liquid margin:-63, open_threshold:2000
[INFO:2020-03-25 10:39:51,298] waiting OPENING sell-coincheck/buy-liquid margin:-63, open_threshold:2000
[INFO:2020-03-25 10:39:52,359] waiting OPENING sell-coincheck/buy-liquid margin:-11, open_threshold:2000
[INFO:2020-03-25 10:39:53,423] waiting OPENING sell-coincheck/buy-liquid margin:-11, open_threshold:2000
[INFO:2020-03-25 10:39:54,460] waiting OPENING sell-coincheck/buy-liquid margin:39, open_threshold:2000
[INFO:2020-03-25 10:39:55,560] waiting OPENING sell-coincheck/buy-liquid margin:39, open_threshold:2000
[INFO:2020-03-25 10:39:56,659] waiting OPENING sell-coincheck/buy-liquid margin:-104, open_threshold:2000
[INFO:2020-03-25 10:39:57,723] waiting OPENING sell-coincheck/buy-liquid margin:-116, open_threshold:2000
[INFO:2020-03-25 10:39:58,777] waiting OPENING sell-coincheck/buy-liquid margin:-116, open_threshold:2000
[INFO:2020-03-25 10:39:59,834] waiting OPENING sell-coincheck/buy-liquid margin:-116, open_threshold:2000
[INFO:2020-03-25 10:40:00,889] waiting OPENING sell-coincheck/buy-liquid margin:-116, open_threshold:2000
[INFO:2020-03-25 10:40:01,944] waiting OPENING sell-coincheck/buy-liquid margin:-116, open_threshold:2000
[INFO:2020-03-25 10:40:02,998] waiting OPENING sell-coincheck/buy-liquid margin:-116, open_threshold:2000
[INFO:2020-03-25 10:40:04,063] waiting OPENING sell-coincheck/buy-liquid margin:-116, open_threshold:2000
[INFO:2020-03-25 10:40:05,128] waiting OPENING sell-coincheck/buy-liquid margin:-116, open_threshold:2000
[INFO:2020-03-25 10:40:06,177] waiting OPENING sell-coincheck/buy-liquid margin:-82, open_threshold:2000
